channel,digital,x,y,z
G,24,0.314434,0.588034,0.288382
B,24,0.197701,0.135504,0.83808
R,24,0.354812,0.235192,0.206801
G,128,8.787999,19.901447,3.967509
B,128,5.095494,1.826117,26.081644
R,128,10.670142,5.798104,0.790569
G,136,10.021038,22.710733,4.489364
R,136,12.189559,6.629689,0.877482
B,136,5.813708,2.073699,29.800288
B,16,0.141426,0.105702,0.470172
R,16,0.185453,0.146026,0.216441
G,16,0.176262,0.29182,0.235458
B,200,13.394653,4.766532,68.912575
G,200,23.206338,52.057174,10.164338
R,200,28.049046,15.20386,1.798319
G,64,2.002004,4.459346,1.025045
R,64,2.40201,1.333295,0.3428
B,64,1.178767,0.466523,5.825465
B,176,10.177895,3.616599,52.348586
R,176,21.31491,11.55235,1.382715
G,176,17.563707,39.472732,7.725651
G,208,25.274166,56.677287,11.044232
R,208,30.535351,16.539126,1.949293
B,208,14.576823,5.17906,74.987727
B,160,8.327457,2.940236,42.815542
R,160,17.433894,9.451869,1.164262
G,160,14.26227,32.174908,6.328522
R,80,3.839397,2.117655,0.420988
G,80,3.184088,7.184761,1.547816
B,80,1.851043,0.70762,9.361787
R,144,13.822626,7.499385,0.970424
B,144,6.605325,2.34896,33.85897
G,144,11.361085,25.720087,5.063143
G,48,1.105774,2.404814,0.649897
B,48,0.666297,0.293949,3.180759
R,48,1.317719,0.746591,0.27143
B,192,12.251145,4.362122,63.086618
R,192,25.704575,13.932841,1.638909
G,192,21.21533,47.622362,9.311618
R,232,38.848822,21.012928,2.433725
G,232,32.119534,72.082563,13.980948
B,232,18.522878,6.589814,95.362763
R,224,35.940538,19.438376,2.239906
B,224,17.140176,6.108289,88.266505
G,224,29.722859,66.69226,12.953211
G,32,0.503905,1.033261,0.408899
R,32,0.585865,0.356326,0.220139
B,32,0.310425,0.172518,1.414052
B,88,2.281663,0.844144,11.521008
R,88,4.721592,2.584263,0.45037
G,88,3.935413,8.828157,1.853295
R,120,9.259621,5.037446,0.724438
B,120,4.424449,1.598749,22.598722
G,120,7.648249,17.274122,3.458219
G,255,39.613316,89.041221,17.241008
R,255,48.019512,25.944582,2.975621
B,255,22.87077,8.113464,117.765826
G,248,37.252901,83.635303,16.196746
B,248,21.496602,7.629015,110.735093
R,248,45.106588,24.376531,2.795631
G,56,1.519403,3.344869,0.823778
B,56,0.897616,0.375205,4.372274
R,56,1.80735,1.013778,0.296902
R,216,33.160168,17.947574,2.079138
G,216,27.448774,61.550098,11.977898
B,216,15.827669,5.637063,81.496668
G,8,0.110498,0.134778,0.221689
R,8,0.115252,0.101962,0.206936
B,8,0.100787,0.093933,0.26076
B,0,0.079765,0.092479,0.209276
G,0,0.091594,0.09564,0.208496
R,0,0.079765,0.092479,0.209276
R,96,5.700854,3.118637,0.501314
B,96,2.72451,1.018931,13.905954
G,96,4.743222,10.641597,2.200201
R,72,3.080018,1.702471,0.370901
B,72,1.509064,0.581706,7.474595
G,72,2.572709,5.734753,1.265043
B,168,9.227817,3.260229,47.450764
R,168,19.333387,10.478497,1.269126
G,168,15.875022,35.705463,7.005945
R,240,41.923257,22.659266,2.604287
G,240,34.622989,77.725564,15.062457
B,240,19.988089,7.108606,102.931245
G,152,12.769673,28.850016,5.675721
B,152,7.446115,2.633066,38.192589
R,152,15.588906,8.447547,1.069327
B,104,3.260638,1.197827,16.5491
R,104,6.785145,3.705341,0.572684
G,104,5.600212,12.641734,2.576409
R,184,23.452645,12.709774,1.513966
G,184,19.343704,43.418311,8.497705
B,184,11.200172,3.971899,57.612044
B,112,3.813088,1.380953,19.416479
G,112,6.58466,14.830881,2.989364
R,112,7.967935,4.33593,0.63817
G,40,0.765098,1.631463,0.502834
R,40,0.921947,0.52979,0.253903
B,40,0.470977,0.230963,2.212485
G,48,1.110414,2.398313,0.636068
R,48,1.317719,0.746591,0.27143
B,48,0.666297,0.293949,3.180759
G,16,0.174944,0.289386,0.26198
R,16,0.201263,0.141469,0.215093
B,16,0.141426,0.105702,0.470172
G,0,0.083746,0.084761,0.208708
R,0,0.096234,0.089139,0.194667
B,0,0.095575,0.087922,0.207928
B,255,22.876668,8.105672,117.884395
G,255,39.656651,89.061583,17.238456
R,255,48.058321,25.94513,2.985974
R,216,33.171338,17.949518,2.091619
G,216,27.460603,61.553259,11.977118
B,216,15.833654,5.617976,81.535315
R,240,41.935086,22.662427,2.603507
G,240,34.630951,77.710128,15.061321
B,240,19.986771,7.106172,102.957767
G,224,29.75382,66.681929,12.963776
R,224,35.951049,19.439103,2.265648
B,224,17.160539,6.108526,88.33125
R,96,5.711365,3.119364,0.527056
G,96,4.727526,10.619839,2.200625
B,96,2.739661,1.013157,13.917867
R,168,19.332728,10.47728,1.282387
G,168,15.862648,35.67477,7.019062
B,168,9.234347,3.268674,47.477074
R,24,0.353494,0.232758,0.233323
B,24,0.212193,0.128513,0.863254
G,24,0.314434,0.588034,0.288382
B,144,6.591519,2.342148,33.899533
R,144,13.854132,7.516586,0.968652
G,144,11.345503,25.672014,5.062643
R,80,3.839397,2.117655,0.420988
B,80,1.873383,0.711508,9.386749
G,80,3.203879,7.172486,1.5459
G,88,3.90004,8.792359,1.854711
B,88,2.28089,0.869242,11.535193
