channel,digital,x,y,z
R,248,42.88851,23.080351,2.705359
G,248,35.751595,79.100679,15.780846
B,248,21.143275,7.235573,108.852702
G,168,15.250548,34.075733,6.837189
R,168,18.493437,9.977187,1.261866
B,168,9.204816,3.111037,47.367782
R,40,0.879271,0.510645,0.243194
B,40,0.469746,0.217234,2.159085
G,40,0.750948,1.559509,0.474888
B,16,0.141426,0.105702,0.470172
R,16,0.190093,0.139525,0.202612
G,16,0.184883,0.277601,0.221061
G,120,7.328278,16.422063,3.373129
R,120,8.840964,4.789225,0.694286
B,120,4.431321,1.528249,22.62226
B,80,1.858433,0.679672,9.29399
R,80,3.695787,2.012147,0.388361
G,80,3.061409,6.803828,1.504033
B,232,18.332652,6.27098,94.305683
G,232,30.87539,68.472073,13.644117
R,232,37.092191,19.957799,2.38339
R,255,45.59338,24.532373,2.883712
G,255,37.997977,83.952338,16.774645
B,255,22.470361,7.688513,115.567791
B,48,0.648597,0.28356,3.141968
R,48,1.277047,0.716077,0.299936
G,48,1.059687,2.261812,0.635136
G,216,26.392389,58.635473,11.704163
B,216,15.724478,5.37531,80.898907
R,216,31.775651,17.102924,2.04789
R,128,10.191795,5.506546,0.776654
G,128,8.441618,18.920426,3.866666
B,128,5.109642,1.753984,26.038309
G,104,5.385245,12.001112,2.504028
B,104,3.252332,1.148121,16.481727
R,104,6.472176,3.510667,0.549697
B,56,0.896385,0.361476,4.318874
R,56,1.733168,0.977432,0.287965
G,56,1.454412,3.162729,0.795824
G,32,0.481793,0.976743,0.382089
R,32,0.578017,0.345447,0.220351
B,32,0.330875,0.16146,1.398875
G,224,28.602826,63.438822,12.632717
B,224,16.998437,5.812103,87.418625
R,224,34.372284,18.485236,2.1922
B,160,8.326023,2.82003,42.771707
G,160,13.738388,30.710486,6.184456
R,160,16.704272,8.997605,1.150338
B,192,12.229091,4.165242,62.829607
G,192,20.397887,45.434843,9.098215
R,192,24.601521,13.265664,1.63242
G,240,33.288014,73.672397,14.677299
B,240,19.715381,6.737485,101.480939
R,240,39.951269,21.504761,2.54019
G,208,24.302221,54.011472,10.799307
B,208,14.514157,4.955391,74.600302
R,208,29.242689,15.756231,1.886775
G,200,22.303796,49.619628,9.935386
R,200,26.861413,14.473295,1.756227
B,200,13.345706,4.56097,68.564509
B,144,6.591948,2.251908,33.816839
R,144,13.235383,7.1369,0.935727
G,144,10.918321,24.51341,4.935194
B,112,3.813316,1.328323,19.414631
G,112,6.330567,14.109549,2.917119
R,112,7.603124,4.108798,0.631208
G,0,0.096234,0.089139,0.194667
R,0,0.095575,0.087922,0.207928
B,0,0.096234,0.089139,0.194667
B,176,10.162856,3.451971,52.264468
R,176,20.416588,11.010137,1.36517
G,176,16.880772,37.669307,7.555251
G,8,0.122327,0.137939,0.220909
R,8,0.131721,0.098622,0.192327
B,8,0.093598,0.084271,0.247711
B,24,0.224681,0.132891,0.849213
R,24,0.354153,0.233975,0.220062
G,24,0.306041,0.549623,0.300931
R,136,11.65748,6.290727,0.839453
G,136,9.635645,21.622687,4.387733
B,136,5.822671,1.980535,29.783119
R,184,22.469085,12.102956,1.474079
B,184,11.152369,3.791361,57.3973
G,184,18.598986,41.450126,8.312968
G,96,4.542291,10.099244,2.15669
B,96,2.728692,0.973603,13.82454
R,96,5.434428,2.961705,0.489392
B,64,1.158518,0.439971,5.759796
R,64,2.316772,1.26869,0.320458
G,64,1.938014,4.199478,0.981058
R,152,14.911671,8.053273,1.027041
G,152,12.268879,27.523491,5.534715
B,152,7.431507,2.522285,38.097058
R,72,2.961956,1.618231,0.376853
B,72,1.485493,0.564089,7.396233
G,72,2.472687,5.43787,1.235733
G,88,3.76576,8.355635,1.80986
R,88,4.516201,2.458082,0.474687
B,88,2.265281,0.836189,11.455695
R,152,14.915652,8.045555,1.026473
G,152,12.273519,27.51699,5.520886
B,152,7.41183,2.508245,38.09805
G,104,5.381264,12.00883,2.504596
B,104,3.263502,1.150065,16.494208
R,104,6.455707,3.514007,0.564306
B,255,22.455297,7.682992,115.475956
R,255,45.57293,24.543431,2.898889
G,255,38.010465,83.956716,16.760604
R,216,31.826289,17.106633,2.057463
G,216,26.389181,58.618093,11.690546
B,216,15.719266,5.369299,80.846075
B,120,4.42081,1.527522,22.596518
G,120,7.340107,16.425224,3.372349
R,120,8.816647,4.781686,0.709107
G,24,0.31323,0.559285,0.31398
R,24,0.357475,0.22504,0.232755
B,24,0.233847,0.146204,0.822479
B,56,0.895726,0.360259,4.332135
