,,,,
,,,,
,,,,
Name,#1,#2,#3,#4
Correction,UV,UV,UV,UV
Date,2024/07/02,2024/07/02,2024/07/02,2024/07/02
Time,18:08:44,18:09:02,18:09:11,18:09:19
Sync. frequency [Hz],0.00,0.00,0.00,0.00
T_int [ms],71.78,136.63,100.00,53680.71
Averages,3,3,3,3
,,,,
,,,,
,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
466,2.42486E-05,9.75813E-05,1.19724E-03,1.80829E-06
467,2.41534E-05,8.83471E-05,1.09792E-03,1.65056E-06
468,1.73382E-05,8.19838E-05,9.99712E-04,1.54925E-06
469,1.80829E-05,7.66402E-05,9.18913E-04,1.59623E-06
470,1.75314E-05,7.10587E-05,8.17410E-04,1.42563E-06
471,1.71358E-05,6.77908E-05,7.42857E-04,1.20439E-06
472,1.39328E-05,6.32779E-05,6.58265E-04,1.08928E-06
473,1.05423E-05,5.94742E-05,5.88334E-04,1.10745E-06
474,1.32307E-05,5.64776E-05,5.33836E-04,9.19246E-07
475,8.69900E-06,5.63468E-05,4.76341E-04,6.31575E-07
476,1.05812E-05,5.86480E-05,4.31725E-04,4.63648E-07
477,7.92235E-06,6.24041E-05,3.91306E-04,9.51066E-07
478,7.86917E-06,6.51393E-05,3.60306E-04,6.06745E-07
479,6.94142E-06,6.82589E-05,3.22574E-04,5.63499E-07
480,1.01679E-05,7.67389E-05,2.96017E-04,5.28560E-07
481,1.23933E-05,8.41970E-05,2.74355E-04,9.20717E-07
482,1.00888E-05,9.15083E-05,2.49868E-04,8.00947E-07
483,8.74513E-06,9.87807E-05,2.28862E-04,4.42527E-07
484,9.45414E-06,1.04436E-04,2.15163E-04,6.13988E-07
485,1.12527E-05,1.13292E-04,1.97517E-04,7.39846E-07
486,8.83007E-06,1.17600E-04,1.84015E-04,8.99266E-07
487,7.30311E-06,1.25038E-04,1.68835E-04,7.17471E-07
488,6.41506E-06,1.31642E-04,1.55878E-04,1.62090E-07
489,1.06965E-05,1.39159E-04,1.45583E-04,6.56761E-07
490,1.23929E-05,1.45284E-04,1.37175E-04,5.20264E-07
491,1.37273E-05,1.56751E-04,1.31222E-04,6.36085E-07
492,1.32196E-05,1.66686E-04,1.26550E-04,4.07416E-07
493,1.57964E-05,1.79361E-04,1.21838E-04,4.23742E-07
494,1.32064E-05,1.99041E-04,1.19550E-04,5.37372E-07
495,1.44416E-05,2.14269E-04,1.21184E-04,4.57736E-07
496,1.37010E-05,2.37117E-04,1.22942E-04,3.80047E-07
497,1.41240E-05,2.68755E-04,1.30268E-04,4.98882E-07
498,1.59587E-05,3.06978E-04,1.29759E-04,2.69969E-07
499,2.18878E-05,3.49118E-04,1.37347E-04,6.46286E-07
500,2.41786E-05,3.97747E-04,1.50668E-04,8.32438E-07
501,2.79850E-05,4.48588E-04,1.60432E-04,1.08119E-06
502,3.10453E-05,5.07564E-04,1.68905E-04,1.11825E-06
503,3.35591E-05,5.71870E-04,1.74450E-04,1.19469E-06
504,3.74065E-05,6.34928E-04,1.80977E-04,1.02985E-06
505,3.92465E-05,6.96236E-04,1.84204E-04,1.24165E-06
506,4.25645E-05,7.66893E-04,1.91412E-04,1.42459E-06
507,4.73634E-05,8.58663E-04,2.00279E-04,1.46808E-06
508,5.42618E-05,9.70164E-04,2.12951E-04,1.66377E-06
509,5.78599E-05,1.09282E-03,2.18316E-04,1.37256E-06
510,6.71612E-05,1.22105E-03,2.28042E-04,1.73371E-06
511,7.49645E-05,1.38796E-03,2.43997E-04,1.47336E-06
512,8.44410E-05,1.54783E-03,2.49662E-04,1.80112E-06
513,9.05304E-05,1.67328E-03,2.52455E-04,1.77525E-06
514,9.29869E-05,1.77702E-03,2.52934E-04,1.93573E-06
515,1.00163E-04,1.85735E-03,2.46739E-04,2.13403E-06
516,1.00300E-04,1.92503E-03,2.35009E-04,2.38163E-06
517,1.04143E-04,1.96977E-03,2.25207E-04,2.21266E-06
518,1.10138E-04,2.04265E-03,2.19307E-04,2.43109E-06
519,1.08515E-04,2.12461E-03,2.11924E-04,2.32466E-06
520,1.13210E-04,2.20051E-03,2.02515E-04,2.40207E-06
521,1.18652E-04,2.27436E-03,1.97780E-04,2.53733E-06
522,1.24044E-04,2.36259E-03,1.94610E-04,2.54885E-06
523,1.27530E-04,2.43630E-03,1.90793E-04,2.32706E-06
524,1.29824E-04,2.51257E-03,1.84729E-04,2.82756E-06
525,1.36567E-04,2.58304E-03,1.82364E-04,2.75631E-06
526,1.39087E-04,2.62146E-03,1.77276E-04,2.78766E-06
527,1.37122E-04,2.65495E-03,1.70165E-04,2.75601E-06
528,1.36262E-04,2.65185E-03,1.63954E-04,2.97872E-06
529,1.34739E-04,2.64830E-03,1.60048E-04,2.93746E-06
530,1.34074E-04,2.62732E-03,1.52481E-04,2.92187E-06
531,1.34496E-04,2.59275E-03,1.44486E-04,2.45885E-06
532,1.30530E-04,2.55421E-03,1.40892E-04,2.68574E-06
533,1.30573E-04,2.53078E-03,1.36626E-04,2.39014E-06
534,1.29072E-04,2.50159E-03,1.29309E-04,2.15150E-06
535,1.21832E-04,2.46919E-03,1.25721E-04,2.04495E-06
536,1.26302E-04,2.41295E-03,1.25166E-04,1.39295E-06
537,1.21428E-04,2.36019E-03,1.21991E-04,2.19721E-06
538,1.21942E-04,2.32083E-03,1.13144E-04,2.14354E-06
539,1.16624E-04,2.25449E-03,1.08841E-04,1.95092E-06
540,1.14305E-04,2.19905E-03,1.04752E-04,1.81297E-06
541,1.07136E-04,2.11359E-03,9.88217E-05,2.25603E-06
542,1.00631E-04,2.02665E-03,9.27677E-05,2.19632E-06
543,9.93413E-05,1.96080E-03,8.75987E-05,2.14829E-06
544,9.82411E-05,1.87279E-03,8.26476E-05,1.99604E-06
545,9.29753E-05,1.80413E-03,8.07669E-05,1.58012E-06
546,8.92785E-05,1.72164E-03,7.52535E-05,1.26949E-06
547,8.29898E-05,1.64109E-03,7.34184E-05,1.58498E-06
548,8.18446E-05,1.57117E-03,6.62121E-05,1.20878E-06
549,7.85803E-05,1.50116E-03,6.33478E-05,1.45778E-06
550,7.51104E-05,1.43092E-03,5.81313E-05,1.31750E-06
551,7.23527E-05,1.36135E-03,5.58604E-05,1.27219E-06
552,6.84156E-05,1.29771E-03,5.69628E-05,7.24643E-07
553,6.26336E-05,1.23181E-03,4.98778E-05,1.18844E-06
554,6.03696E-05,1.15115E-03,4.70768E-05,1.04293E-06
555,5.72581E-05,1.09696E-03,4.38693E-05,1.08572E-06
556,5.25715E-05,1.03802E-03,4.14503E-05,1.19388E-06
557,4.93650E-05,9.68420E-04,3.69950E-05,1.01920E-06
558,5.27166E-05,9.08624E-04,3.27885E-05,1.04466E-06
559,4.50875E-05,8.46603E-04,3.32993E-05,1.42714E-06
560,4.47837E-05,7.98072E-04,3.07623E-05,6.12266E-07
561,4.32484E-05,7.45539E-04,2.79431E-05,6.32198E-07
562,3.93138E-05,6.94802E-04,2.49597E-05,5.42814E-07
563,3.45905E-05,6.43859E-04,2.70043E-05,3.92199E-07
564,3.35590E-05,6.00222E-04,2.13337E-05,8.67630E-07
565,3.07193E-05,5.61853E-04,2.46266E-05,8.04842E-07
566,2.89523E-05,5.23142E-04,2.02249E-05,3.61522E-07
567,2.85856E-05,4.82655E-04,1.96351E-05,6.78015E-07
568,2.48697E-05,4.46027E-04,1.70469E-05,4.40025E-07
569,2.69284E-05,4.05341E-04,1.68739E-05,1.57694E-07
570,2.41280E-05,3.78237E-04,1.47181E-05,4.47762E-07
571,2.79494E-05,3.47561E-04,9.99163E-06,3.77098E-07
572,2.78973E-05,3.18637E-04,9.74881E-06,5.16753E-07
573,2.31145E-05,2.91853E-04,1.15707E-05,2.90939E-07
574,2.91585E-05,2.75480E-04,9.78008E-06,1.79647E-08
575,2.93159E-05,2.50294E-04,7.53594E-06,3.34602E-07
576,2.84191E-05,2.24731E-04,7.69036E-06,3.20394E-07
577,3.11094E-05,2.07699E-04,6.68431E-06,5.66810E-07
578,3.32477E-05,1.92041E-04,6.87849E-06,4.23574E-07
579,3.44936E-05,1.76871E-04,4.78512E-06,3.98263E-07
580,4.19353E-05,1.63292E-04,2.96513E-06,2.92428E-07
581,4.43970E-05,1.53239E-04,2.47590E-06,3.04229E-07
582,4.99873E-05,1.41623E-04,3.73500E-06,2.81007E-07
583,5.62005E-05,1.30971E-04,6.48814E-06,5.03775E-07
584,6.37923E-05,1.25625E-04,3.51855E-06,2.53593E-07
585,7.18716E-05,1.17550E-04,6.48561E-06,6.16248E-07
586,8.13249E-05,1.12350E-04,5.13018E-06,7.06557E-08
587,9.09589E-05,1.09493E-04,1.53402E-06,2.58273E-07
588,9.96957E-05,1.03605E-04,1.81445E-06,7.98385E-07
589,1.09854E-04,9.94371E-05,1.38680E-06,2.66147E-07
590,1.23138E-04,9.53408E-05,2.01928E-06,1.49023E-07
591,1.28717E-04,9.61880E-05,1.31111E-06,4.46323E-07
