,,,
,,,
,,,
Name,#1,#2,#3
Correction,UV,UV,UV
Date,2024/08/06,2024/08/06,2024/08/06
Time,00:21:02,00:21:54,00:23:09
Sync. frequency [Hz],1000.00,1000.00,1000.00
T_int [ms],70.00,135.00,100.00
Averages,3,3,3
,,,
,,,
,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
494,1.45282E-05,2.00991E-04,1.23512E-04
495,1.37266E-05,2.18752E-04,1.20688E-04
496,1.46189E-05,2.45494E-04,1.22747E-04
497,1.56164E-05,2.76882E-04,1.29612E-04
498,2.04241E-05,3.10902E-04,1.36379E-04
499,2.16827E-05,3.52697E-04,1.47616E-04
500,2.31249E-05,3.99138E-04,1.54119E-04
501,2.85837E-05,4.59023E-04,1.64868E-04
502,3.19256E-05,5.18661E-04,1.69088E-04
503,3.46479E-05,5.82580E-04,1.74845E-04
504,3.60008E-05,6.36370E-04,1.85104E-04
505,4.02613E-05,7.13955E-04,1.90780E-04
506,4.17400E-05,7.82443E-04,1.93337E-04
507,4.69014E-05,8.80983E-04,2.05722E-04
508,5.22197E-05,9.77269E-04,2.19219E-04
509,6.16696E-05,1.10980E-03,2.22668E-04
510,6.66398E-05,1.24897E-03,2.34242E-04
511,7.71050E-05,1.41271E-03,2.48739E-04
512,8.58228E-05,1.56146E-03,2.56665E-04
513,9.08666E-05,1.69211E-03,2.58617E-04
514,9.76042E-05,1.78135E-03,2.54232E-04
515,9.77145E-05,1.87531E-03,2.50097E-04
516,9.98347E-05,1.93949E-03,2.42208E-04
517,1.01255E-04,2.00082E-03,2.29650E-04
518,1.08374E-04,2.06182E-03,2.23218E-04
519,1.16114E-04,2.13540E-03,2.13337E-04
520,1.17040E-04,2.21973E-03,2.00483E-04
521,1.22901E-04,2.30441E-03,2.02987E-04
522,1.26991E-04,2.39499E-03,1.96744E-04
523,1.28202E-04,2.47910E-03,1.92171E-04
524,1.33718E-04,2.53670E-03,1.87312E-04
525,1.38772E-04,2.59224E-03,1.85320E-04
526,1.43472E-04,2.64362E-03,1.73681E-04
527,1.41041E-04,2.67250E-03,1.74061E-04
528,1.41157E-04,2.67722E-03,1.65290E-04
529,1.38988E-04,2.66962E-03,1.60397E-04
530,1.37757E-04,2.64508E-03,1.57950E-04
531,1.36732E-04,2.61281E-03,1.49214E-04
532,1.32113E-04,2.57872E-03,1.45051E-04
533,1.31413E-04,2.55185E-03,1.39891E-04
534,1.29507E-04,2.50848E-03,1.30887E-04
535,1.27460E-04,2.47355E-03,1.25468E-04
536,1.21410E-04,2.43362E-03,1.24772E-04
537,1.29793E-04,2.38630E-03,1.14441E-04
538,1.21615E-04,2.32312E-03,1.13833E-04
539,1.17620E-04,2.26066E-03,1.10442E-04
540,1.13895E-04,2.19852E-03,1.05059E-04
541,1.11292E-04,2.10997E-03,1.01206E-04
542,1.01421E-04,2.02539E-03,9.50088E-05
543,9.73508E-05,1.96718E-03,8.72097E-05
544,9.33584E-05,1.87400E-03,8.50576E-05
545,9.26847E-05,1.79770E-03,8.15205E-05
546,9.11366E-05,1.72412E-03,7.73077E-05
547,8.73868E-05,1.64207E-03,7.06939E-05
548,8.39629E-05,1.56312E-03,6.93843E-05
549,7.76919E-05,1.50254E-03,6.40720E-05
550,7.28430E-05,1.42804E-03,5.92652E-05
551,7.14255E-05,1.36333E-03,5.65130E-05
552,7.00355E-05,1.30072E-03,5.68988E-05
553,6.46612E-05,1.22850E-03,5.07866E-05
