,,,,,
,,,,,
,,,,,
Name,#1,#2,#3,#4,#4
Correction,UV,UV,UV,UV,UV
Date,2024/10/08,2024/10/08,2024/10/08,2024/10/08,2024/10/08
Time,17:09:24,17:10:17,17:10:48,17:11:10,17:11:10
Sync. frequency [Hz],0.00,0.00,0.00,0.00,0.00
T_int [ms],72.83,134.49,100.00,27885.52,27885.52
Averages,3,3,3,3,3
,,,,,
,,,,,
,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
448,6.68776E-05,2.69618E-04,3.61381E-03,5.67736E-06,5.67736E-06
449,7.04437E-05,2.84460E-04,3.80663E-03,5.95683E-06,5.95683E-06
450,7.30158E-05,2.99177E-04,3.95109E-03,6.15428E-06,6.15428E-06
451,7.69182E-05,2.98926E-04,3.98490E-03,6.04873E-06,6.04873E-06
452,6.89197E-05,2.92608E-04,3.89418E-03,5.92168E-06,5.92168E-06
453,7.09213E-05,2.81090E-04,3.73426E-03,5.59288E-06,5.59288E-06
454,6.14205E-05,2.61385E-04,3.45021E-03,5.01175E-06,5.01175E-06
455,5.87795E-05,2.39574E-04,3.14667E-03,4.60119E-06,4.60119E-06
456,5.40619E-05,2.16297E-04,2.84853E-03,4.22721E-06,4.22721E-06
457,5.11897E-05,1.93498E-04,2.57164E-03,3.73531E-06,3.73531E-06
458,4.38702E-05,1.76977E-04,2.30201E-03,3.22894E-06,3.22894E-06
459,4.04660E-05,1.59049E-04,2.06471E-03,3.00148E-06,3.00148E-06
460,3.83732E-05,1.46508E-04,1.89096E-03,2.67265E-06,2.67265E-06
461,3.33514E-05,1.37355E-04,1.74600E-03,2.42220E-06,2.42220E-06
462,3.01790E-05,1.25402E-04,1.61351E-03,2.25737E-06,2.25737E-06
463,2.63158E-05,1.17254E-04,1.49450E-03,1.60749E-06,1.60749E-06
464,2.63030E-05,1.08600E-04,1.38092E-03,2.02723E-06,2.02723E-06
465,2.59630E-05,1.03953E-04,1.29591E-03,1.69765E-06,1.69765E-06
466,2.55861E-05,9.64897E-05,1.18345E-03,1.62003E-06,1.62003E-06
467,2.28316E-05,8.85300E-05,1.08668E-03,1.48717E-06,1.48717E-06
468,1.69050E-05,8.33981E-05,9.97559E-04,1.19524E-06,1.19524E-06
469,1.69096E-05,7.75900E-05,9.20417E-04,1.12976E-06,1.12976E-06
470,1.49723E-05,6.66831E-05,8.21751E-04,1.28835E-06,1.28835E-06
471,1.76341E-05,6.56345E-05,7.36934E-04,1.05710E-06,1.05710E-06
472,1.63685E-05,6.37492E-05,6.59999E-04,1.01174E-06,1.01174E-06
473,1.49221E-05,6.07191E-05,5.93074E-04,8.32092E-07,8.32092E-07
474,1.41309E-05,5.95780E-05,5.31789E-04,7.04539E-07,7.04539E-07
475,1.56881E-05,6.22835E-05,4.81172E-04,4.95184E-07,4.95184E-07
476,1.04286E-05,5.68307E-05,4.34581E-04,3.61290E-07,3.61290E-07
477,7.75552E-06,6.17409E-05,3.87208E-04,9.02464E-07,9.02464E-07
478,8.78667E-06,6.69427E-05,3.57655E-04,5.96466E-07,5.96466E-07
479,1.01855E-05,6.99031E-05,3.27728E-04,4.95755E-07,4.95755E-07
480,1.16229E-05,7.42174E-05,3.02612E-04,3.92485E-07,3.92485E-07
481,1.16707E-05,8.34859E-05,2.74889E-04,5.30504E-07,5.30504E-07
482,9.91023E-06,9.07862E-05,2.56735E-04,5.08544E-07,5.08544E-07
483,8.54674E-06,9.59292E-05,2.36972E-04,3.41916E-07,3.41916E-07
484,9.27682E-06,1.04573E-04,2.12541E-04,4.31954E-07,4.31954E-07
485,1.08188E-05,1.14082E-04,1.96199E-04,3.69907E-07,3.69907E-07
486,1.23579E-05,1.18491E-04,1.78758E-04,5.00898E-07,5.00898E-07
487,9.62231E-06,1.30306E-04,1.68896E-04,3.89848E-07,3.89848E-07
488,8.69488E-06,1.31620E-04,1.58335E-04,3.66004E-07,3.66004E-07
489,8.76593E-06,1.37181E-04,1.46386E-04,4.84539E-07,4.84539E-07
490,1.02348E-05,1.44564E-04,1.33667E-04,4.16573E-07,4.16573E-07
491,1.28005E-05,1.53018E-04,1.26381E-04,3.25202E-07,3.25202E-07
492,1.02265E-05,1.65855E-04,1.24735E-04,2.73919E-07,2.73919E-07
493,1.01921E-05,1.80413E-04,1.18250E-04,5.19003E-07,5.19003E-07
494,1.38842E-05,1.97217E-04,1.20183E-04,5.74728E-07,5.74728E-07
495,1.45251E-05,2.20455E-04,1.22079E-04,4.22274E-07,4.22274E-07
496,1.52057E-05,2.41494E-04,1.23570E-04,3.60698E-07,3.60698E-07
497,1.81722E-05,2.66728E-04,1.26087E-04,3.41501E-07,3.41501E-07
498,2.16910E-05,2.99458E-04,1.36545E-04,2.74518E-07,2.74518E-07
499,2.14937E-05,3.43358E-04,1.44475E-04,5.27190E-07,5.27190E-07
500,2.44277E-05,3.96221E-04,1.52207E-04,7.06392E-07,7.06392E-07
501,2.75711E-05,4.54602E-04,1.55885E-04,8.25079E-07,8.25079E-07
502,3.39790E-05,5.07012E-04,1.68387E-04,7.24943E-07,7.24943E-07
503,3.41151E-05,5.64710E-04,1.77909E-04,9.31511E-07,9.31511E-07
504,3.72675E-05,6.32401E-04,1.80076E-04,1.30514E-06,1.30514E-06
505,3.91249E-05,6.97166E-04,1.82946E-04,9.87110E-07,9.87110E-07
